Item Code,Item Name
SDCZ74-032G-G46,"SanDisk Ultra Luxe™ USB 3.2 Gen 1, Flash Drive, CZ74 32GB, USB3.2 Gen 1, Full cast metal, 5Y"
SDCZ74-064G-G46,"SanDisk Ultra Luxe™ USB 3.2 Gen 1, Flash Drive, CZ74 64GB, USB3.2 Gen 1, Full cast metal, 5Y"
SDCZ74-128G-G46,"SanDisk Ultra Luxe™ USB 3.2 Gen 1, Flash Drive, CZ74 128GB, USB3.2 Gen 1, Full cast metal, 5Y"
SDCZ74-256G-G46,"SanDisk Ultra Luxe™ USB 3.2 Gen 1, Flash Drive, CZ74 256GB, USB3.2 Gen 1, Full cast metal, 5Y"
SDCZ74-512G-G46,"SanDisk Ultra Luxe™ USB 3.2 Gen 1, Flash Drive, CZ74 512GB, USB3.2 Gen 1, Full cast metal, 5Y"
SDCZ96-064G-G46,"SanDisk Ultra Eco USB 3.2 Gen 1 Flash Drive, CZ96 64GB, USB3.2, Green, 5 Y"
SDCZ96-128G-G46,"SanDisk Ultra Eco USB 3.2 Gen 1 Flash Drive, CZ96 128GB, USB3.2, Green, 5 Y"
SDCZ96-256G-G46,"SanDisk Ultra Eco USB 3.2 Gen 1 Flash Drive, CZ96 256GB, USB3.2, Green, 5 Y"
SDCZ96-512G-G46,"SanDisk Ultra Eco USB 3.2 Gen 1 Flash Drive, CZ96 512GB, USB3.2, Green, 5 Y"
SDCZ480-064G-G46,"SanDisk Ultra® Slider USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ480, 64GB, Black, Retractable Design, 5Y"
SDCZ480-128G-G46,"SanDisk Ultra® Slider USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ480, 128GB, Black, Retractable Design, 5Y"
SDCZ480-256G-G46,"SanDisk Ultra® Slider USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ480, 256GB, Black, Retractable Design, 5Y"
SDCZ75-064G-G46,"SanDisk Ultra® Luxe USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ75 64GB, Metal, 5 Y"
SDCZ75-128G-G46,"SanDisk Ultra® Luxe USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ75 128GB, Metal, 5 Y"
SDCZ75-256G-G46,"SanDisk Ultra® Luxe USB Type-C™ Drive, USB3.2 Gen1, Type C, CZ75 256GB, Metal, 5 Y"
SDCZ810-064G-G46,"SanDisk Extreme GO USB 3.2 Flash Drive, CZ810 64GB, USB3.2, Metal, Lifetime Limited"
SDCZ810-128G-G46,"SanDisk Extreme GO USB 3.2 Flash Drive, CZ810 128GB, USB3.2, Metal, Lifetime Limited"
SDCZ810-256G-G46,"SanDisk Extreme GO USB 3.2 Flash Drive, CZ810 256GB, USB3.2, Metal, Lifetime Limited"
SDCZ880-128G-G46,"SanDisk Extreme Pro USB 3.2 Gen 1 Solid State Flash Drive, CZ880 128GB, USB3.2, Black, Sophisticated durable Aluminum Metal Casing, Lifetim"
SDCZ880-256G-G46,"SanDisk Extreme Pro USB 3.2 Gen 1 Solid State Flash Drive, CZ880 256GB, USB3.2, Black, Sophisticated durable Aluminum Metal Casing, Lifetim"
SDCZ880-512G-G46,"SanDisk Extreme Pro USB 3.2 Gen 1 Solid State Flash Drive, CZ880 512GB, USB3.2, Black, Sophisticated durable Aluminum Metal Casing, Lifetim"
SDCZ880-1T00-G46,"SanDisk Extreme Pro USB 3.2 Gen 1 Solid State Flash Drive, CZ880 1TB, USB3.2, Black, Sophisticated durable Aluminum Metal Casing, Lifetime"
SDDDC2-032G-G46,"SanDisk Ultra Dual Drive USB Type C, SDDDC2 32GB, USB Type C, Black, USB3.1/Type C reversible connector, Retractable Design , Type-C enable"
SDDDC2-064G-G46,"SanDisk Ultra Dual Drive USB Type C, SDDDC2 64GB, USB Type C, Black, USB3.1/Type C reversible connector, Retractable Design , Type-C enable"
SDDDC2-128G-G46,"SanDisk Ultra Dual Drive USB Type C, SDDDC2 128GB, USB Type C, Black, USB3.1/Type C reversible connector, Retractable Design , Type-C enabl"
SDDDC2-256G-G46,"SanDisk Ultra Dual Drive USB Type C, SDDDC2 256GB, USB Type C, Black, USB3.1/Type C reversible connector, Retractable Design , Type-C enabl"
SDDDC3-032G-G46,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 32GB, USB3.2 Gen 1 Type C / Type A, Swivel Design, Black, 5Y"
SDDDC3-064G-G46,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 64GB, USB3.2 Gen 1 Type C / Type A, Swivel Design, Black, 5Y"
