Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Standard Selling Rate,Allow Purchase,Allow Sales,Company (Item Defaults),Default Warehouse (Item Defaults)
Boat-st193-BM,Bluetooth Speaker,Nos,boAt Stone 193 Special Edition - 5W Batman,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st193-JL,Bluetooth Speaker,Nos,boAt Stone 193 Special Edition - 5W Justice League,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st193-WW,Bluetooth Speaker,Nos,boAt Stone 193 Special Edition - 5W Wondar Woman,1,boAt,37,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st358-BLACK,Bluetooth Speaker,Nos,boAt Stone 358 - 10W Black,1,boAt,40,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st650R-BLACK,Bluetooth Speaker,Nos,boAt Stone 650R - 10W Black,1,boAt,45,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st650R-Blue,Bluetooth Speaker,Nos,boAt Stone 650R - 10W Blue,1,boAt,45,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st650R-Red,Bluetooth Speaker,Nos,boAt Stone 650R - 10W Red,1,boAt,45,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-stRTL-BLK,Smart Watch,Nos,boAt Storm RTL - Non - Calling Black,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-stRTL-BLU,Smart Watch,Nos,boAt Storm RTL - Non - Calling Blue,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-stRTL-GRY,Smart Watch,Nos,boAt Storm RTL - Non - Calling Grey,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-stRTL-PIK,Smart Watch,Nos,boAt Storm RTL - Non - Calling Pink,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-stRTL-TEL,Smart Watch,Nos,boAt Storm RTL - Non - Calling Teal,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-TC-A320,PD Cables,Nos,boAt Type C A320 1.5m 3A Data Cable,1,boAt,10,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-TC-A400,PD Cables,Nos,boAt Type C A400 2m 3A Rapid Charging,1,boAt,15,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-TC-A750,PD Cables,Nos,boAt Type C A750 1.5m 6.5A charge Flat Cable,1,boAt,12,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-TC-C400,PD Cables,Nos,boAt Type C C400 1.5m - 5A 100W (C TO C Cable),1,boAt,15,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-us50,PD Cables,Nos,boAt Micro 1.5m 3A Data Cable,1,boAt,7,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-us500,PD Cables,Nos,boat Micro  1.5m Metal Braided Cable,1,boAt,10,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-WL-BLK,Smart Watch,Nos,Wave Lite - Non - Calling Active Black,1,boAt,44,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-WP-BLK,Smart Watch,Nos,Wave Play - Non - Calling Active Black,1,boAt,43,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-WlVoice-blk,Smart Watch,Nos,Wave Voice - Bluetooth Calling Charcoal Black,1,boAt,53,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-xtend-BLK,Smart Watch,Nos,Xtend RTL - Non - Calling Black,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-xtend-GLD,Smart Watch,Nos,Xtend RTL - Non - Calling Black-Gold,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-xtend-CRM,Smart Watch,Nos,Xtend RTL - Non - Calling Cream,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-xtend-GRN,Smart Watch,Nos,Xtend RTL - Non - Calling Green,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-XTALK-PIK,Smart Watch,Nos,Xtend Talk - Bluetooth Calling Cherry Blossom,1,boAt,79,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-XTALK-BLK,Smart Watch,Nos,Xtend Talk - Bluetooth Calling Pitch Black,1,boAt,79,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
