Item Code,Price List,Rate,Selling,Buying
SDSSDE61-2T00-G25M,Sandisk Jan2024 Selling Price,210.1,1,0
SDSSDE61-4T00-G25M,Sandisk Jan2024 Selling Price,436.7,1,0
SDSSDE81-1T00-G25,Sandisk Jan2024 Selling Price,174.9,1,0
SDSSDE81-2T00-G25,Sandisk Jan2024 Selling Price,270.6,1,0
SDSSDE81-4T00-G25,Sandisk Jan2024 Selling Price,541.2,1,0
SDIX60N-064G-GN6NN,Sandisk Jan2024 Selling Price,39.8,1,0
SDIX60N-128G-GN6NE,Sandisk Jan2024 Selling Price,53.7,1,0
SDIX60N-256G-GN6NE,Sandisk Jan2024 Selling Price,81.7,1,0
SDIX70N-064G-GN6NN,Sandisk Jan2024 Selling Price,46.3,1,0
SDIX70N-128G-GN6NE,Sandisk Jan2024 Selling Price,61.2,1,0
SDIX70N-256G-GN6NE,Sandisk Jan2024 Selling Price,88.7,1,0
SDIX90N-032G-GN6NN,Sandisk Jan2024 Selling Price,27.8,1,0
SDIX90N-064G-GN6NN,Sandisk Jan2024 Selling Price,29.6,1,0
SDIX90N-064G-GN6NK,Sandisk Jan2024 Selling Price,29.6,1,0
SDIX90N-128G-GN6NE,Sandisk Jan2024 Selling Price,41.7,1,0
SDIX90N-128G-GN6NJ,Sandisk Jan2024 Selling Price,41.7,1,0
SDIX90N-256G-GN6NE,Sandisk Jan2024 Selling Price,68.3,1,0
SDDR-409-G46,Sandisk Jan2024 Selling Price,27.5,1,0
SDDR-A631-GNGNN,Sandisk Jan2024 Selling Price,36.5,1,0
SDDR-B531-GN6NN,Sandisk Jan2024 Selling Price,10.3,1,0
