"Item Code","ID (Taxes)","Tax Category (Taxes)"
"JBL-T120TWS-YEL","fdcb5d6812",""
"JBL-T120TWS-WHI","2d31ee6965",""
"JBL-T120TWS-PIK","b194ef3e73",""
"JBL-T120TWS-BLU","b80b4c5bad",""
"JBL-T120TWS-BLK","d4cdff4dbb",""
"JBL-T290-SIL","6fc087bcaf",""
"JBL-T290-RGD","bfb549e476",""
"JBL-T290-BLK","8185c39d60",""
"JBL-T210-RGD","dd18c2565b",""
"JBL-T210-GRY","fbda1afe8e",""
"JBL-T210-BLK","795feef4ee",""
"JBL-T205-RGD","a5231c8975",""
"JBL-T205-CHROM","72561c3841",""
"JBL-T205-CHAMGLD","f5e13d892e",""
"JBL-T205-BLK","13aad00b98",""
"JBL-C150SI-WHI","af68eb80e3",""
"JBL-C150SI-RED","ebb53b1a00",""
"JBL-C150SI-BLK","726a3a6f56",""
"JBL-C100SI-WHI","875e15efd6",""
"JBL-C100SI-RED","0a4f85f571",""
"JBL-C100SI-BLK","acec370ac7",""
"JBL-T110BT-GRN","fda58f6da8",""
"JBL-T110BT-WHI","d3a12d29fd",""
"JBL-T110BT-PIK","f22f5bc839",""
"JBL-T110BT-GRY","1bd8c5bd93",""
"JBL-T110BT-BLU","547810a8ae",""
"JBL-T110BT-BLK","5f1a943f55",""
"JBL-T110-WHI","a96202fc05",""
"JBL-T110-RED","d88296767d",""
"JBL-T110BT-HK","c84f8dbc08",""
"JBL-T110HK","f1c9631ec3",""
"SDSQUNR-016G-GN3MN","ed799c8021",""
"SDDR-F451-GNGNN","bbe06af051",""
"SDDR-A631-GNGNN","fd7a75194f",""
"SDDR-409-G46","a5a6f58dd2",""
"SDDR-399-G46","80cd1175f2",""
"SDDR-299-G46","89b86bd2e2",""
"SDIX90N-256G-GN6NE","3c9fadc728",""
"SDIX90N-128G-GN6NE","600fb9c1b9",""
"SDIX90N-064G-GN6NN","bfe7023211",""
"SDIX90N-032G-GN6NN","d62c9b9c9d",""
"SDIX70N-256G-GN6NE","6ba96fd59e",""
"SDIX70N-128G-GN6NE","8e22a29eb9",""
"SDIX70N-064G-GN6NN","937fdcd85e",""
"SDIX60N-256G-GN6NE","fbb20b87ef",""
"SDIX60N-128G-GN6NE","e77682ad61",""
"SDIX60N-064G-GN6NN","40193c766f",""
"SDIX40N-256G-GN6ND","b30c3ede68",""
"SDIX40N-128G-GN6NE","0beaafef1b",""
"SDIX40N-064G-GN6NN","088a4e0b67",""
"SDIX40N-032G-GN6NN","616cc90814",""
"SDIX30N-064G-PN6NN","91936877e3",""
"SDIX30N-032G-PN6NN","499b919033",""
"SDDDC4-1T00-G46","1e31ffd87c",""
"SDDDC4-512G-G46","ec0cf0fb1c",""
"SDDDC4-256G-G46","3a2dd97ef9",""
"SDDDC4-128G-G46","3b30487b26",""
"SDDDC4-064G-G46","cd89847e5f",""
"SDDDC4-032G-G46","abd44cb36e",""
"SDDDC3-256G-G46G","09cb2d5111",""
"SDDDC3-256G-G46","033d35d77a",""
"SDDDC3-128G-G46PC","2c5b676530",""
"SDDDC3-128G-G46NB","1fdd7ed18a",""
"SDDDC3-128G-G46G","099176c0d2",""
"SDDDC3-128G-G46","fd9dd106e4",""
"SDDDC3-064G-G46PC","1633792f15",""
"SDDDC3-064G-G46NB","c681ce94e9",""
"SDDDC3-064G-G46G","4b9431c8d8",""
"SDDDC3-064G-G46","87c16e4b2c",""
"SDDDC3-032G-G46","65dd48f62c",""
"SDDDC2-256G-G46","d33a127077",""
"SDDDC2-128G-G46","a447d1ce5c",""
"SDDDC2-064G-G46","5a6627c8f6",""
"SDDDC2-032G-G46","2951d73811",""
"SDDD3-256G-G46","34738207af",""
"SDDD3-128G-G46","e556d066b0",""
"SDDD3-064G-G46","442268868f",""
"SDDD3-032G-G46","39893c2d05",""
"SDDD3-016G-G46","cf02338103",""
"SDCZ880-256G-G46","a102c9f6ee",""
"SDCZ880-128G-G46","bf47f77dc0",""
"SDCZ800-128G-G46","7728bd2866",""
