Item Code,Price List,Rate,Selling,Buying
SDSSDE61-2T00-G25B,Sandisk Jan2024 Selling Price,$210.10,1,0
SDSSDE61-4T00-G25B,Sandisk Jan2024 Selling Price,$436.70,1,0
SDSSDE61-1T00-G25M,Sandisk Jan2024 Selling Price,$130.90,1,0
SDSSDE61-2T00-G25M,Sandisk Jan2024 Selling Price,$210.10,1,0
SDSSDE61-4T00-G25M,Sandisk Jan2024 Selling Price,$436.70,1,0
SDSSDE81-1T00-G25,Sandisk Jan2024 Selling Price,$174.90,1,0
SDSSDE81-2T00-G25,Sandisk Jan2024 Selling Price,$270.60,1,0
SDSSDE81-4T00-G25,Sandisk Jan2024 Selling Price,$541.20,1,0
SDIX60N-064G-GN6NN,Sandisk Jan2024 Selling Price,$39.80,1,0
SDIX60N-128G-GN6NE,Sandisk Jan2024 Selling Price,$53.70,1,0
SDIX60N-256G-GN6NE,Sandisk Jan2024 Selling Price,$81.70,1,0
SDIX70N-064G-GN6NN,Sandisk Jan2024 Selling Price,$46.30,1,0
SDIX70N-128G-GN6NE,Sandisk Jan2024 Selling Price,$61.20,1,0
SDIX70N-256G-GN6NE,Sandisk Jan2024 Selling Price,$88.70,1,0
SDIX90N-032G-GN6NN,Sandisk Jan2024 Selling Price,$27.80,1,0
SDIX90N-064G-GN6NN,Sandisk Jan2024 Selling Price,$29.60,1,0
SDIX90N-064G-GN6NK,Sandisk Jan2024 Selling Price,$29.60,1,0
SDIX90N-128G-GN6NE,Sandisk Jan2024 Selling Price,$41.70,1,0
SDIX90N-128G-GN6NJ,Sandisk Jan2024 Selling Price,$41.70,1,0
SDIX90N-256G-GN6NE,Sandisk Jan2024 Selling Price,$68.30,1,0
SDDR-409-G46,Sandisk Jan2024 Selling Price,$27.50,1,0
SDDR-A631-GNGNN,Sandisk Jan2024 Selling Price,$36.50,1,0
SDDR-B531-GN6NN,Sandisk Jan2024 Selling Price,$10.30,1,0
